strategy,ticker,return,max_drawdown,sharpe,trades
SMA25,MSFT,-100.0,-100.0,0.0,22
SMA30,MSFT,-100.0,-100.0,0.0,20
SMA35,MSFT,-100.0,-100.0,0.0,20
SMA40,MSFT,-100.0,-100.0,0.0,20
SMA45,MSFT,-100.0,-100.0,0.0,22
SMA55,MSFT,-100.0,-100.0,0.0,22
SMA60,MSFT,-43.92770658501144,-96.36646107651498,-0.08648955502590287,10
SMA65,MSFT,-40.96269267944855,-88.4320029874216,-0.17101651803811743,9
SMA70,MSFT,-42.06842123522182,-91.18756875875715,-0.14893996033164414,8
SMA75,MSFT,-41.029033406764306,-88.47815066645944,-0.17081990201931757,7
SMA80,MSFT,-100.0,-100.0,0.0,17
SMA90,MSFT,-100.0,-100.0,0.0,19
SMA100,MSFT,-100.0,-100.0,0.0,18
SMA120,MSFT,-100.0,-100.0,0.0,18
SMA150,MSFT,4.112866234232969,-36.50047236977444,0.05915269473725475,11
SMA180,MSFT,6.7337123596531265,-37.26925840122766,0.09276338510302413,8
EMA5,MSFT,-100.0,-100.0,0.0,15
EMA6,MSFT,-100.0,-100.0,0.0,15
EMA7,MSFT,-100.0,-100.0,0.0,15
EMA8,MSFT,-100.0,-100.0,0.0,15
EMA9,MSFT,-100.0,-100.0,0.0,16
EMA10,MSFT,-100.0,-100.0,0.0,16
EMA11,MSFT,-100.0,-100.0,0.0,16
EMA12,MSFT,-100.0,-100.0,0.0,15
EMA13,MSFT,-100.0,-100.0,0.0,15
EMA14,MSFT,-100.0,-100.0,0.0,15
EMA15,MSFT,-100.0,-100.0,0.0,15
EMA16,MSFT,-100.0,-100.0,0.0,15
EMA17,MSFT,-100.0,-100.0,0.0,15
EMA18,MSFT,-100.0,-100.0,0.0,15
EMA19,MSFT,-100.0,-100.0,0.0,15
EMA20,MSFT,-100.0,-100.0,0.0,16
EMA25,MSFT,-100.0,-100.0,0.0,16
EMA30,MSFT,-100.0,-100.0,0.0,16
EMA35,MSFT,-100.0,-100.0,0.0,16
EMA40,MSFT,-100.0,-100.0,0.0,16
EMA45,MSFT,-100.0,-100.0,0.0,16
EMA55,MSFT,-100.0,-100.0,0.0,16
