strategy,ticker,return,max_drawdown,sharpe,win_rate,trades,profit_factor,avg_trade
DonchianChannel,MSFT,0.0,-0.0,,,0,,
DonchianChannel,NVDA,0.0,-0.0,,,0,,
DonchianChannel,NFLX,0.0,-0.0,,,0,,
DonchianChannel,TSLA,0.0,-0.0,,,0,,
DonchianChannel,SPY,0.0,-0.0,,,0,,
DonchianChannel,GOOGL,0.0,-0.0,,,0,,
DonchianChannel,META,0.0,-0.0,,,0,,
DonchianChannel,AAPL,0.0,-0.0,,,0,,
MeanReversion,QQQ,-100.0,-100.0,0.0,12.5,16,0.007337193234371536,0.0
MeanReversion,AMZN,-100.0,-100.0,0.0,5.263157894736842,38,0.0020759208738433664,0.0
MeanReversion,MSFT,-100.0,-100.0,0.0,14.285714285714285,14,0.0030930512329709,0.0
MeanReversion,NVDA,-100.0,-100.0,0.0,7.6923076923076925,26,0.005335089844596136,0.0
MeanReversion,NFLX,-100.0,-100.0,0.0,50.0,26,0.24620342849675692,0.0
MeanReversion,TSLA,-100.0,-100.0,0.0,10.0,20,0.016141478654447067,0.0
MeanReversion,SPY,1.5373944043931078,-1.2962335728006313,0.3608465417805627,73.33333333333333,15,2.6928770606097374,1.9125084148145177
MeanReversion,GOOGL,-100.0,-100.0,0.0,7.142857142857142,28,0.005854497635055351,0.0
MeanReversion,META,-100.0,-100.0,0.0,16.129032258064516,31,0.06427860130194973,0.0
MeanReversion,AAPL,-68.07670538249616,-93.51878343299416,-0.28795699599259694,100.0,3,,1.919848924029277
TurtleTrading,QQQ,0.0,-0.0,,,0,,
TurtleTrading,AMZN,0.0,-0.0,,,0,,
TurtleTrading,MSFT,0.0,-0.0,,,0,,
TurtleTrading,NVDA,0.0,-0.0,,,0,,
TurtleTrading,NFLX,0.0,-0.0,,,0,,
TurtleTrading,TSLA,0.0,-0.0,,,0,,
TurtleTrading,SPY,0.0,-0.0,,,0,,
TurtleTrading,GOOGL,0.0,-0.0,,,0,,
TurtleTrading,META,0.0,-0.0,,,0,,
TurtleTrading,AAPL,0.0,-0.0,,,0,,
ChannelBreakout,QQQ,0.0,-0.0,,,0,,
ChannelBreakout,AMZN,0.0,-0.0,,,0,,
ChannelBreakout,MSFT,0.0,-0.0,,,0,,
ChannelBreakout,NVDA,0.0,-0.0,,,0,,
ChannelBreakout,NFLX,0.0,-0.0,,,0,,
ChannelBreakout,TSLA,0.0,-0.0,,,0,,
ChannelBreakout,SPY,0.0,-0.0,,,0,,
ChannelBreakout,GOOGL,0.0,-0.0,,,0,,
ChannelBreakout,META,0.0,-0.0,,,0,,
ChannelBreakout,AAPL,0.0,-0.0,,,0,,
VWAPTrend,QQQ,7.663860752581986,-4.035944929732638,0.5805307296894684,,0,,
VWAPTrend,AMZN,2.7590274243164092,-6.162225391136311,0.16401086045138186,,0,,
VWAPTrend,MSFT,5.322217075653316,-6.5002866438934825,0.3102032720875657,,0,,
VWAPTrend,NVDA,117.43842521482348,-20.559931400826116,0.7991403582478821,,0,,
VWAPTrend,NFLX,7.944172072601323,-9.658992905040286,0.35404374608540723,,0,,
VWAPTrend,TSLA,5.8429781317138625,-11.204379099680528,0.1808362206859402,,0,,
VWAPTrend,SPY,5.289598465660929,-2.1726206567360573,0.6658731606550277,,0,,
VWAPTrend,GOOGL,15.512412026414768,-5.689021094254187,0.7056112886928896,,0,,
VWAPTrend,META,7.131006087685164,-8.497153451631089,0.2974780626223462,,0,,
VWAPTrend,AAPL,10.41559661949781,-6.187220169666685,0.521552079312974,,0,,
EMACross,QQQ,-40.21151581739913,-56.1002684700935,-0.5983166533433257,50.0,2,11.268039603384656,5.782826560604004
EMACross,AMZN,-23.47724022811891,-53.367236362561634,-0.22555650092032511,100.0,2,,4.421202700771665
